"prope","pvalue","qvalue"
"LGALS3",0.0122404777002839,1
"MCL1",0.0869711262707318,1
"EIF4G2",0.979590572505209,1
"PTTG1IP",0.483949997041517,1
"HMGN1",0.500564506108048,1
"SLC25A6",0.54425836286933,1
"TMBIM6",0.0939932325095963,1
"PFDN5",0.0210356874293218,1
"ACTA2",0.203392642105209,1
"HNRNPU",0.495070316101316,1
"PSMB1",0.591849684743393,1
"RTN4",0.166971246161536,1
"SNRPD2",0.871560801792526,1
"GABARAP",0.00758504613347212,1
"PTGES3",0.282334295196098,1
"PFN1",0.907689857121849,1
"TXNIP",0.00741283589972671,1
"HLA-F",0.0827028883694555,1
"ANP32B",0.00176065976827921,1
"S100A11",0.150221209782121,1
"MTCH1",0.611648867670004,1
"IFITM1",0.0820649487900798,1
"CCT4",0.0641685397404497,1
"SSR4",0.348018220078329,1
"DYNLL1",0.00900899646803979,1
"ATP5C1",0.00723080467303919,1
"LRRFIP1",0.721910436751987,1
"IGFBP7",0.0156048178696378,1
"PCBP2",0.334572419104019,1
"DYNLT1",0.583988998168603,1
"UQCRQ",0.065824084625998,1
"CAPN2",0.247878961701927,1
"PHB2",0.143245256367737,1
"SUB1",0.6682114198724,1
"MORF4L1",0.704653844752523,1
"ADAR",0.696936102575227,1
"PSMB4",0.371359537158426,1
"HSPA5",0.754708232216772,1
"TUBA1A",0.146023619153932,1
"UQCRB",0.117107245991126,1
"MAGED1",0.15867767315286,1
"ENO1",0.012906220776757,1
"CD81",0.0262536116314424,1
"VAPA",0.134407169171138,1
"TPM1",0.0834979936777447,1
"JUND",0.848988311288705,1
"SNX3",0.107721845882436,1
"ATP6V0C",0.306482185857373,1
"S100A6",0.797534934396658,1
"ATP6V1G1",0.639772886083197,1
"H2AFZ",0.00137199993604051,1
"DSP",0.979349722012845,1
"ARF4",0.338881197766474,1
"RAB13",0.840126434520943,1
"TPI1",0.128998242245218,1
"DAZAP2",0.000585707157069007,1
"SERP1",0.614860476237208,1
"PGAM1",0.00690226380321366,1
"ARPC2",0.414238372603881,1
"ATP5B",0.0846877861502174,1
"ATP6V0E1",0.551802095456456,1
"CD59",0.155951092706657,1
"COL6A1",0.0142763557399429,1
"COPB1",0.430525764924752,1
"TMED2",0.0688277433681516,1
"VCAN",0.0424757361289156,1
"ERH",0.958952061336307,1
"NCOA4",0.519275406720831,1
"CEBPB",0.538794712112891,1
"CD99",0.397098277323637,1
"PSME1",0.0610378001640687,1
"HNRNPD",0.612341973215554,1
"MGST3",0.12864325670383,1
"CAP1",0.356626424802987,1
"GNG5",0.931160654868836,1
"CLTA",0.0341552117405807,1
"TRAM1",0.239139656701503,1
"PDIA3",0.202899514077079,1
"C14orf166",0.0140056307582716,1
"RHEB",0.00407683394276304,1
"SEPT2",0.0588354831223996,1
"MLPH",0.00264035091319555,1
"CLIC1",0.328926630094104,1
"MARCKSL1",0.314320237186406,1
"SF3B1",0.0455159524186344,1
"H2AFY",0.308472858056316,1
"HLA-DPB1",0.00017545345396017,1
"PRDX6",0.012226080153037,1
"CAPNS1",0.37630008388775,1
"KARS",0.00428194045184584,1
"CNBP",0.293188646701128,1
"ATF4",0.170797528019539,1
"EIF3F",0.258415246319106,1
"A2M",0.00186949219746353,1
"CDK2AP1",0.00600854446287736,1
"SPINT2",0.514881578229596,1
"XRCC6",0.774163860546577,1
"LDHB",0.028855057345561,1
"RAB11A",0.330054872066632,1
"HNRNPA2B1",0.515326328942808,1
"PNPLA2",0.750983204138312,1
"ENSA",0.6582047982286,1
"NFKBIA",0.0152384801790916,1
"GTF3A",0.353837656792762,1
"SEPT7",0.234654056548657,1
"PEBP1",0.824608249926556,1
"KPNB1",0.902768596623657,1
"SEC61B",0.0374715090094146,1
"TMED10",0.00736902216299473,1
"STAU1",0.297918136049379,1
"PSMA1",0.527070528985673,1
"SFN",0.0287233332463026,1
"DHX15",0.621601730023872,1
"CTBP2",0.120301151157983,1
"NCL",0.0621265555429524,1
"LAPTM5",0.289392880383405,1
"HDGF",0.095206351229109,1
"NDUFB1",0.140629857467445,1
"COX5B",0.822027876460611,1
"MDH1",0.337637900224649,1
"STAT1",0.809710074429805,1
"PSMA7",0.0208252803842696,1
"RHOB",0.00037495742697612,1
"ARL6IP5",0.0324973466439608,1
"AGR2",0.00571958231063347,1
"APLP2",0.0554878287181194,1
"CRABP2",0.228151233857822,1
"APEX1",0.115248463104673,1
"KRT8",0.0808871654286466,1
"NDUFA1",0.304519282019113,1
"POMP",0.00033796694727568,1
"ARHGDIB",0.0176796541933402,1
"SNRPE",0.0161438334637827,1
"GNB1",0.980350678757915,1
"HNRNPC",0.368769626359054,1
"GPNMB",0.583513616277602,1
"U2AF1",0.251125267481278,1
"ARHGAP1",0.02556822516385,1
"TM4SF1",0.548385635644617,1
"BHLHE40",0.0328205819125589,1
"SSR1",0.0998526068464944,1
"TFG",0.529896888249482,1
"UBE2D3",0.171116639860838,1
"CCT3",0.165806582837511,1
"IGFBP5",0.0595973624579045,1
"LUM",0.108813626498748,1
"UQCRFS1",0.18483320376989,1
"AZGP1",0.0347392287018472,1
"VDAC3",0.00100578923871078,1
"SNRPB",0.188396445685977,1
"FXYD3",0.826766124155801,1
"NUCKS1",0.013013750393175,1
"TPD52",0.107244283585122,1
"UBA1",0.807674720068573,1
"ST13",0.97600487682884,1
"RAN",0.000201861824108213,1
"EIF3K",0.172226890027909,1
"NPC2",0.0376158407671421,1
"COPA",0.453974507589778,1
"TRA2B",0.298304680134607,1
"ATP6AP2",0.0996192381395684,1
"SLC38A2",0.664948713260958,1
"ARPC5",0.152238004911541,1
"SAP18",0.224449788886256,1
"TAGLN",0.177103356474774,1
"TOMM20",0.490249138026229,1
"SERBP1",0.306554906277996,1
"CDH1",0.342650214840763,1
"CALD1",0.736832407398192,1
"SOX4",0.685497603568882,1
"TSC22D1",0.362476248598052,1
"PRDX2",0.709758833737688,1
"C1S",0.00226280686253457,1
"MKNK2",0.147315508376472,1
"OAT",0.83067538503337,1
"CCT8",0.0166675271606367,1
"ACTR2",0.19226106426408,1
"SDCBP",0.140192035012583,1
"DUT",0.842110404503839,1
"TNFSF10",0.000922073645568872,1
"DYNLRB1",0.130333024411574,1
"ANXA5",0.46997622497803,1
"ATXN10",0.0953122170137102,1
"SHC1",0.159312194641596,1
"HMGN3",0.665161461854583,1
"GPX1",0.480793504283651,1
"STK24",0.0666039482095418,1
"CD44",0.040366076143805,1
"LASP1",0.383473899228955,1
"MAPRE1",0.388768566936535,1
"CYB5A",0.0113362103816324,1
"ATP1B1",0.261786410233799,1
"STAT3",0.00125557478386699,1
"PSMB3",0.336678828615771,1
"CCT5",0.00899084464425614,1
"BANF1",0.782009666326514,1
"CSNK1A1",0.461410809926692,1
"BCAP31",0.253508434397655,1
"SUMO3",0.34834638455369,1
"VDAC2",0.0262320219618208,1
"WDR1",0.437079337522598,1
"FLOT1",0.0111195851943122,1
"EIF5",0.815424367522163,1
"CCT2",0.0258841441047338,1
"SNRPG",0.0287654375822593,1
"IMPDH2",0.360610618186912,1
"ALCAM",0.885000199704225,1
"PPIB",0.305972617302247,1
"ATP2A2",0.617273831040008,1
"LITAF",0.00325062145630457,1
"CYB5R3",0.636926008540809,1
"TXNL1",0.0462214848841408,1
"PALLD",0.194445728013492,1
"NDUFA13",0.366402235153129,1
"CSDE1",0.216802644360802,1
"SPARCL1",0.00252652711686856,1
"POLR2L",0.00860840049490428,1
"CBX3",0.182074402206167,1
"EIF4B",0.382488142627826,1
"NME1",0.0390954314110462,1
"OS9",0.00253616398081823,1
"CAPZB",0.353775092225862,1
"VPS35",0.0476631158181768,1
"YWHAE",0.979792923421126,1
"TFRC",0.625138172378345,1
"PSMD4",0.105326075404188,1
"PPP1CC",0.676286360892715,1
"COL6A2",0.0992874788882327,1
"COL4A2",0.21384856210192,1
"VAMP8",0.659791388795363,1
"SEC31A",0.283020471734269,1
"PSMA2",0.00259184209106836,1
"ZFAND5",0.663876135678932,1
"STRAP",0.0125270720286993,1
"RBBP7",0.411210860682199,1
"TNPO1",0.261960886289091,1
"HK1",0.0211951382048616,1
"NOTCH2NL",0.982411403912845,1
"CEBPD",0.821824109009559,1
"CYFIP1",0.047303998695281,1
"PSMC1",0.00236647596814392,1
"PNRC2",0.0189791516533033,1
"LGALS3BP",0.244801997335777,1
"IGKC",0.606254287055221,1
"AP2S1",0.695321455419017,1
"CNPY2",0.909971783914335,1
"CSNK2B",0.800579018634749,1
"DAD1",0.697207051209903,1
"PUM1",0.0527382279136835,1
"ACLY",0.461090345100322,1
"TCEA1",0.00977121731929506,1
"FAM162A",0.847174545195798,1
"OLA1",0.732006879245327,1
"GSN",0.0166134862231323,1
"RAP1B",0.272286442519225,1
"UBE2E1",0.372678930010799,1
"ACTN1",0.615823768245906,1
"CTSK",0.0205651404598985,1
"PSMC2",0.26378077882638,1
"ARL6IP1",0.325831641356127,1
"CRIP1",0.000154812544016985,1
"HERPUD1",0.596242438607387,1
"ECHS1",0.321616922990943,1
"TPBG",0.0542505515323096,1
"PCBP1",0.247069918313397,1
"PBX1",0.0593665163109073,1
"OGT",0.722780034500194,1
"XRCC5",0.950110329656568,1
"ERBB2",0.968267280705424,1
"SEC13",0.00126056182448474,1
"PTPRF",0.87076657408142,1
"APP",0.444357471117729,1
"DDX3X",0.521035942523235,1
"TM9SF2",0.248955009612311,1
"TROVE2",0.561330653190542,1
"CALR",0.5808927547757,1
"ATP6AP1",0.0609457157824651,1
"EIF2S2",0.00171812512120395,1
"SPP1",0.111117528065731,1
"PGRMC1",0.0712987933113057,1
"POLR2G",0.120351009314125,1
"STOM",0.227753690552848,1
"KHDRBS1",0.572395604397694,1
"IFI27",0.81202730764409,1
"CSRP1",0.0244325839969586,1
"HNRNPR",0.874930133408434,1
"OPHN1",0.0298670787894151,1
"PSMB7",0.000650081576282513,1
"PTBP1",0.427434441615315,1
"EPCAM",0.170651426172392,1
"SQSTM1",0.191255814811648,1
"PEA15",0.720587923718096,1
"COL4A1",0.741975681273923,1
"COX5A",0.220498353597305,1
"TFAP2A",0.816983785672444,1
"TUFM",0.0190356272337882,1
"GPI",0.00294516951684071,1
"ARL8B",0.325728228840732,1
"SPTBN1",0.00188927974140301,1
"SNRPD3",0.0812419833876695,1
"HTRA1",0.0906731501316381,1
"RAB5A",0.392741476861682,1
"BTG1",0.329504086838901,1
"FBL",0.221152182368923,1
"CLU",0.0339365553009902,1
"VAMP3",0.0229628639235211,1
"PDIA6",0.302093541905941,1
"PRKAR1A",0.452288454113664,1
"EIF3D",0.0709906423902456,1
"ANXA11",0.305683288646783,1
"MAPK1IP1L",0.172950668326092,1
"UBE2N",0.030837490877507,1
"PAPSS1",0.629056016057767,1
"PSMB2",0.000241849379604267,1
"IARS",0.00111533181766396,1
"DYNC1I2",0.0130482636546142,1
"GSTO1",0.515392366233648,1
"DHCR24",0.304588094383652,1
"UCP2",0.0808243832943058,1
"UBE2I",0.770359463895135,1
"CD46",0.208712753105112,1
"TAPBP",0.00646811014970898,1
"CAPZA1",0.641730243910143,1
"KTN1",0.969542042728932,1
"C11orf58",0.419937714920378,1
"XPO1",0.345242645546434,1
"PRDX3",0.835458367857644,1
"EIF4H",0.167408258342729,1
"FKBP4",0.631730020473724,1
"TAX1BP1",0.0258548442232799,1
"ATP6V1A",0.00250725873504774,1
"GRN",0.00333913229152605,1
"ERP29",0.317973935132203,1
"MDH2",0.0856185331534911,1
"THBS2",0.539530820163628,1
"AP2M1",0.83525507370314,1
"USP9X",0.0761103066019349,1
"DAP3",0.538715500973351,1
"ZMYND11",0.487379900201159,1
"GJA1",0.00370098475079601,1
"PRDX4",0.000621191617564751,1
"MMP2",0.019821839360691,1
"FKBP1A",0.993762029106275,1
"EIF3G",0.594302862736209,1
"KIF5B",0.192694891220434,1
"CAT",0.053239375580328,1
"UQCRC2",0.104289938480212,1
"SERPINF1",0.0146445697860363,1
"SGSM2",0.0488979315510712,1
"TXNL4A",0.0265564567965037,1
"EIF4A3",0.150150564813527,1
"AHCYL1",0.216272910817893,1
"ARF3",0.619856884215325,1
"FNTA",0.0615013151864022,1
"SRI",0.177389970853304,1
"METTL9",0.0517088643672037,1
"AP3S1",0.82851109507095,1
"TUBB3",0.0698272550284764,1
"TAF10",0.0299382875697021,1
"GGA1",0.446353261475664,1
"CA12",0.000218785412275629,1
"EIF3B",0.0042657275988682,1
"NUPR1",0.509869661015502,1
"RAB2A",0.220207153951345,1
"PSMD14",0.00105134499312548,1
"ARPC1B",0.139722617696277,1
"RNPS1",0.963612859520208,1
"EDF1",0.274292906957192,1
"ANXA7",0.133074467638243,1
"CS",0.0468159694435131,1
"VCL",0.792121435831871,1
"ATP1A1",0.326808534954911,1
"EIF2AK1",0.152755561584202,1
"RBM39",0.0309040863008402,1
"GABARAPL2",0.389326545358168,1
"COPB2",0.576119357749407,1
"NDUFB8",0.114685823394969,1
"TGFBI",0.910886117868477,1
"HNRNPA1",0.619485094965499,1
"BCLAF1",0.788084305880567,1
"ITGB5",0.0217255749456517,1
"S100A13",0.0236661635453031,1
"RAB3GAP1",0.19428822526781,1
"HNRNPM",0.263930048796796,1
"PSMD8",0.0119450073958818,1
"RAB31",0.0197680097208342,1
"HSBP1",0.0287520924644436,1
"TPD52L1",0.410123562550336,1
"MAGED2",0.0151035430411995,1
"WWP1",0.0871525980621878,1
"IQGAP1",0.280183955247617,1
"SDC4",0.0114514655669077,1
"CREG1",0.662619246966527,1
"PPP1R11",0.803758999369887,1
"PDLIM1",0.0021302543585233,1
"HIF1A",0.740993580923615,1
"AKR1A1",0.80315066267929,1
"PAPOLA",0.336075484816895,1
"NOTCH2",0.0822470478271318,1
"CLIC4",0.590692156589711,1
"TOB1",0.189696451406191,1
"UBL5",0.3962987508229,1
"SDC1",0.195162273054403,1
"UBE2L3",0.016485334760281,1
"TSC22D3",0.0226216195268755,1
"POLR2J",0.760248548080799,1
"NDUFS6",0.269584014189028,1
"VPS28",0.1814063716155,1
"HEBP2",0.0253574144028611,1
"PACSIN2",0.0636718550298618,1
"MT1G",0.618395229095723,1
"ACTN4",0.426908557174381,1
"PDLIM5",0.123899596172949,1
"PFN2",0.111517330140406,1
"NDUFV2",0.726578844167622,1
"YME1L1",0.702548534492518,1
"APOD",0.0626934545411674,1
"GUSB",0.0418103284970257,1
"LTA4H",0.012179602912018,1
"COL5A2",0.121013502130629,1
"CTBP1",0.252024029244673,1
"CXXC1",0.942530312744441,1
"HAX1",0.0714904059610913,1
"CTDSP2",0.10278249376965,1
"UGP2",0.412248236309293,1
"CCT7",0.331804717555723,1
"EIF3I",0.259339505211987,1
"RBX1",0.864731052278369,1
"FBN1",0.0083564554763228,1
"CTSH",0.00858154980614485,1
"HDLBP",0.455150432169842,1
"PITPNB",0.337212491116316,1
"LTF",0.536870387696673,1
"LRP10",0.084388931090032,1
"NEDD8",0.861117361019905,1
"COX7A2L",0.998208539156714,1
"SUCLG1",0.705641406366281,1
"AEBP1",0.0706026007522279,1
"CNDP2",0.489659457647046,1
"FDFT1",0.0617151892333848,1
"TSPO",0.0370115671611296,1
"CSE1L",0.0604456941406569,1
"ARPC3",0.547127951371993,1
"H1F0",0.28111929502391,1
"SSBP1",0.0212907204888503,1
"PSMD2",0.0287199880534862,1
"HSD17B10",0.151949394037929,1
"YY1",0.172977436867173,1
"ANXA1",0.705560688975344,1
"IDH1",0.19526309720661,1
"PSMC5",0.660072951753513,1
"TBCB",0.729219162252007,1
"SON",0.0243465710361399,1
"PSMD1",0.109544312149783,1
"RBPJ",0.380980530340692,1
"ZMIZ1",0.0936307838370211,1
"MARCKS",0.956480589017507,1
"PRKCSH",0.30800401441522,1
"MEA1",0.840375646835897,1
"TFF1",0.00992167308405494,1
"SRP72",0.228310555504409,1
"HBB",0.403426949225075,1
"PLP2",0.00395617359196277,1
"AURKAIP1",0.15886980900601,1
"TIMP3",0.0375017891380971,1
"GAS6",0.167475197393181,1
"TRIB1",0.248206723912569,1
"EIF3M",0.366714104120168,1
"TGOLN2",0.0111418427803172,1
"ELAVL1",0.282602733938002,1
"COPS2",0.936759534327091,1
"LARP1",0.117889604857043,1
"CDK5RAP3",0.343447795406421,1
